Number of Games played  = 3600000
Number of Games checked = 3600000
Number of Wins          = 1773986
Number of losses        = 1826014
Percentage Wins         = 49.2774%
Percentage Losses       = 50.7226%
Number of total rolls   = 12157358
Roll       Wins   Losses
   2          0   100061
   3          0   199576
   4     100643   200109
   5     160308   240054
   6     227007   272256
   7     599084        0
   8     227435   272758
   9     159198   240091
  10      99816   200618
  11     200495        0
  12          0   100491
